Player,HOFm,Chmp,AP1,PB,St,From,To,CarAV,G,GS,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits
Johnathan Hankins\HankJo00,16.98,0,0,0,7,2013,2020,39,114,102,0,0,0,0,8,14.5,318,189,129,35,44
Evander Hood\HoodEv99,16.95,0,0,0,5,2009,2018,40,142,73,0,0,0,0,11,14.0,231,141,90,25,42
Tony McDaniel\McDaTo20,16.95,1,0,0,3,2006,2017,31,146,47,0,0,0,0,19,11.5,278,167,111,20,25
Don Owens\OwenDo20,16.88,1,0,0,7,1957,1963,30,87,79,0,0,0,0,,,,,,,
Shawn Lee\LeexSh20,16.83,0,0,0,6,1988,1998,39,148,97,2,13,0,14,,28.5,292,255,37,,
Ron Edwards\EdwaRo20,16.70,0,0,0,6,2001,2012,38,139,96,0,0,0,0,7,16.5,207,146,61,23,17
Sylvester Williams\WillSy00,16.70,1,0,0,4,2013,2020,30,102,63,0,0,0,0,5,5.5,142,93,49,21,14
Manny Sistrunk\SistMa20,16.65,0,0,0,4,1970,1979,38,123,62,0,0,0,0,,,,,,,
Henry Ford\FordHe21,16.55,0,0,0,5,1994,2003,38,133,76,0,0,0,0,5,24.0,274,181,93,24,
Terrance Knighton\KnigTe99,16.55,0,0,0,6,2009,2015,38,108,96,2,-1,0,2,11,14.0,230,148,82,34,38
DaQuan Jones\JoneDa04,16.50,0,0,0,6,2014,2020,39,99,93,0,0,0,0,4,9.0,235,136,99,18,26
Pete Kugler\KuglPe20,16.50,3,0,0,2,1981,1990,21,81,36,0,0,0,0,,12.5,,,,,
Glenn Dorsey\DorsGl99,16.35,0,0,0,7,2008,2016,38,104,92,0,0,0,0,3,7.0,321,223,98,23,24
Chad Eaton\EatoCh20,16.28,0,0,0,5,1996,2004,38,103,77,0,0,0,0,8,15.5,383,263,120,26,
Shane Dronett\DronSh20,16.23,0,0,0,5,1992,2001,37,139,86,3,7,0,7,6,44.0,316,255,61,20,
John Jurkovic\JurkJo20,16.20,0,0,0,7,1991,1999,37,114,95,0,0,0,0,0,9.0,245,202,43,3,
Bob Kilcullen\KilcBo20,16.18,1,0,0,4,1957,1966,28,104,57,0,0,0,0,,,,,,,
Andy Harmon\HarmAn20,16.10,0,0,0,4,1991,1997,37,86,61,1,0,0,0,,39.5,296,266,30,,
Stephon Tuitt\TuitSt00,16.10,0,0,0,6,2014,2020,40,91,79,1,3,0,3,13,34.5,246,176,70,48,94
Norman Hand\HandNo20,15.78,0,0,0,6,1996,2004,37,115,87,2,47,0,30,9,22.5,285,217,68,30,
Bob Lurtsema\LurtBo20,15.78,0,0,0,6,1967,1977,37,144,82,1,39,0,39,,,,,,,
