Player,HOFm,Chmp,AP1,PB,St,From,To,CarAV,G,GS,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits
John Dutton\DuttJo00,39.80,0,1,3,11,1974,1987,71,185,160,1,38,1,38,,18.0,,,,,
Joe Nash\NashJo00,39.53,0,1,1,12,1982,1996,76,218,169,1,13,1,13,,47.5,779,743,36,,
Linval Joseph\JoseLi99,38.48,1,0,2,10,2010,2020,69,157,150,0,0,0,0,6,24.0,587,349,238,53,73
Pat Williams\WillPa20,38.38,0,0,3,10,1997,2010,73,200,157,1,20,1,20,18,20.5,672,468,204,94,12
Bob Golic\GoliBo00,38.15,0,0,3,9,1979,1992,72,187,160,1,7,1,7,,22.5,,,,,
Jerry Ball\BallJe00,37.88,0,1,3,10,1987,1999,67,191,154,1,66,1,66,2,32.5,557,509,48,3,
Greg Kragen\KragGr00,37.50,0,0,1,11,1985,1997,77,200,164,1,29,0,29,,28.5,871,841,30,,
Darnell Dockett\DockDa20,37.28,0,0,3,10,2004,2014,71,158,156,4,36,0,20,18,40.5,472,358,114,90,113
Houston Antwine\AntwHo00,36.93,0,1,6,9,1961,1972,69,156,124,1,2,0,2,,,,,,,
Russell Maryland\MaryRu00,36.75,3,0,1,10,1991,2000,59,154,140,1,2,0,2,4,24.5,466,374,92,7,
Diron Talbert\TalbDi00,36.50,0,0,1,11,1967,1980,75,186,157,0,0,0,0,,,,,,,
Gary Larsen\LarsGa00,36.25,0,0,2,8,1964,1974,72,149,115,0,0,0,0,,,,,,,
Louie Kelcher\KelcLo00,35.85,1,1,3,7,1975,1984,54,116,89,2,2,0,2,,2.0,,,,,
Charlie Krueger\KrueCh00,35.28,0,0,2,15,1959,1973,70,198,193,1,0,0,0,,,,,,,
Tim Krumrie\KrumTi00,35.08,0,1,2,10,1983,1994,64,188,161,0,0,0,0,,34.5,1017,1008,9,,
Keith Traylor\TrayKe20,34.90,3,0,0,11,1991,2007,58,229,159,2,129,1,67,17,20.0,473,388,85,47,7
Billy Ray Smith\SmitBi23,34.55,1,0,0,9,1957,1970,65,168,145,1,5,0,5,,,,,,,
Brandon Mebane\MebaBr99,34.18,1,0,0,13,2007,2019,65,182,176,1,5,0,5,10,18.5,467,299,168,63,59
Marcus Stroud\StroMa01,34.03,0,0,3,9,2001,2010,64,146,129,0,0,0,0,41,29.5,429,314,115,62,24
Jerry Sherk\SherJe00,33.78,0,1,4,9,1970,1981,56,147,131,3,3,0,3,,,,,,,
Rubin Carter\CartRu20,33.68,0,0,0,10,1975,1986,72,166,152,0,0,0,0,,5.0,,,,,
Albert Haynesworth\HaynAl20,33.08,0,2,2,7,2002,2011,55,123,92,0,0,0,0,28,30.5,348,262,86,74,65
Walter Johnson\JohnWa00,32.85,0,0,3,11,1965,1977,62,182,154,2,5,0,4,,,,,,,
John Henderson\HendJo99,32.73,0,0,2,8,2002,2011,64,146,125,0,0,0,0,46,29.0,492,382,110,60,23
Tony Casillas\CasiTo20,32.43,2,0,0,10,1986,1997,57,166,135,0,0,0,0,,23.0,768,724,44,,
Robert Brown\BrowRo02,32.20,2,0,1,8,1966,1976,53,146,108,0,0,0,0,,,,,,,
Gary Walker\WalkGa00,32.15,0,0,2,10,1995,2005,63,155,148,0,0,0,0,19,46.5,433,319,114,62,
Keith Hamilton\HamiKe20,32.05,0,0,0,10,1992,2003,69,173,157,0,0,0,0,9,63.0,545,411,134,37,
Rosey Grier\GrieRo00,31.93,1,1,2,11,1955,1966,47,141,141,0,0,0,0,,,,,,,
Tim Bowens\BoweTi00,31.83,0,0,2,10,1994,2004,63,157,155,1,0,0,0,7,22.0,414,303,111,26,
Ron Kostelnik\KostRo20,31.70,5,0,0,5,1961,1969,43,120,75,0,0,0,0,,,,,,,
Ryan Pickett\PickRy20,31.63,1,0,0,13,2001,2014,59,207,185,0,0,0,0,33,9.5,583,386,197,52,11
